Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Imo,Voyage Origin Port
Container,Container Terminal XXI,6.5,6.8,Tug,SUPPORTING VESSELS,4.0,6.9,9998200,SINES
Container,Container Terminal XXI,7.2,7.6,Tug,SUPPORTING VESSELS,3.0,6.6,9998200,SINES
Container,Container Terminal XXI,14.5,15.0,Container Ship,CONTAINER SHIPS,1208.0,15.9,9279977,ANTWERP
Container,Container Terminal XXI,7.2,7.6,Tug,SUPPORTING VESSELS,2.0,6.4,9803821,SINES
7,Oil and Products Terminal,18.9,19.2,LPG Tanker,LPG CARRIERS,27.0,4.8,9261578,LISBOA
Container,Container Terminal XXI,5.6,5.9,Tug,SUPPORTING VESSELS,3.0,6.2,9998200,SINES
Container,Container Terminal XXI,5.6,5.7,Tug,SUPPORTING VESSELS,2.0,5.1,9803821,SINES
Container,Container Terminal XXI,0.5,7.8,Tug,SUPPORTING VESSELS,4.0,5.4,9803821,SINES
6,Oil and Products Terminal,17.5,41.2,Oil Products Tanker,WET BULK,4.0,5.2,9428671,SINES
Container,Container Terminal XXI,7.6,7.8,Tug,SUPPORTING VESSELS,4.0,6.1,9998200,SINES
Container,Container Terminal XXI,22.1,22.2,Container Ship,CONTAINER SHIPS,281.0,14.9,9289099,ALGECIRAS
3,Oil and Products Terminal,0.3,16.9,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.2,9319179,SINES ANCH
3,Oil and Products Terminal,33.0,33.4,Oil/Chemical Tanker,WET BULK,1387.0,6.7,9373230,LEIXOES
3,Oil and Products Terminal,0.4,25.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,9319179,SINES
Container,Container Terminal XXI,1.1,1.8,Tug,SUPPORTING VESSELS,3.0,6.5,9998200,SINES
Container,Container Terminal XXI,16.8,17.2,Container Ship,CONTAINER SHIPS,1314.0,16.7,9403396,GIOIA TAURO
Container,Container Terminal XXI,1.4,1.6,Tug,SUPPORTING VESSELS,3.0,5.4,9803821,SINES
Sines LNG,REN Atlantico Terminal LNG,1.4,25.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,9319179,SINES
Container,Container Terminal XXI,4.6,4.9,Tug,SUPPORTING VESSELS,3.0,5.2,9803821,SINES
Container,Container Terminal XXI,15.7,16.0,Container Ship,CONTAINER SHIPS,1908.0,14.5,9279965,NEMRUT
Container,Container Terminal XXI,4.7,5.2,Tug,SUPPORTING VESSELS,3.0,6.0,9998200,SINES
1A,Multi Purpose Terminal,15.5,16.1,Bulk Carrier,DRY BULK,26.0,6.1,9609902,ARZEW
7,Oil and Products Terminal,4.8,5.2,LPG Tanker,LPG CARRIERS,294.0,5.2,9261578,LISBOA
Container,Container Terminal XXI,9.3,9.7,Tug,SUPPORTING VESSELS,2.0,6.3,9998200,SINES
Container,Container Terminal XXI,14.8,15.0,Container Ship,CONTAINER SHIPS,997.0,12.8,9354363,AGADIR
Container,Container Terminal XXI,9.5,9.7,Tug,SUPPORTING VESSELS,3.0,7.6,9803821,SAN FERNANDO
1A,Multi Purpose Terminal,22.9,41.2,Oil Products Tanker,WET BULK,4.0,5.2,9428671,SINES
3,Oil and Products Terminal,24.6,25.1,Oil/Chemical Tanker,WET BULK,1144.0,7.8,9308558,SINES
3,Oil and Products Terminal,0.6,25.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,9319179,SINES
Sines LNG,REN Atlantico Terminal LNG,26.0,26.7,LNG Tanker,LNG CARRIERS,5473.0,12.4,9311581,BONNY
Sines LNG,REN Atlantico Terminal LNG,1.3,2.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.3,9319179,SINES ANCH
Container,Container Terminal XXI,7.4,7.7,Oil Products Tanker,WET BULK,50.0,7.9,9428671,SETUBAL
2,Oil and Products Terminal,0.9,2.4,Tug,SUPPORTING VESSELS,3.0,5.3,9071246,SINES
2,Oil and Products Terminal,1.8,2.4,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.0,9319179,SINES ANCH
2,Oil and Products Terminal,1.1,1.6,Tug,SUPPORTING VESSELS,4.0,7.8,9803821,SINES
3,Multi Purpose Terminal,7.5,9.1,Tug,SUPPORTING VESSELS,1.0,3.7,9071246,SINES
4,Oil and Products Terminal,0.7,9.1,Tug,SUPPORTING VESSELS,1.0,3.7,9071246,SINES
4,Oil and Products Terminal,21.5,22.0,Chemical Tanker,WET BULK,661.0,11.6,9470997,LAS PALMAS
4,Oil and Products Terminal,0.6,30.1,Tug,SUPPORTING VESSELS,1.0,6.0,9071246,SINES
7,Oil and Products Terminal,0.4,30.1,Tug,SUPPORTING VESSELS,1.0,6.0,9071246,SINES
7,Oil and Products Terminal,23.9,24.3,LPG Tanker,LPG CARRIERS,250.0,11.2,9710323,LEIXOES
Container,Container Terminal XXI,14.6,14.8,Tug,SUPPORTING VESSELS,3.0,5.9,9803821,SINES
Container,Container Terminal XXI,14.7,14.9,Tug,SUPPORTING VESSELS,3.0,5.5,9998200,SINES
Container,Container Terminal XXI,45.3,45.4,Container Ship,CONTAINER SHIPS,1340.0,11.3,9085546,GIOIA TAURO
Container,Container Terminal XXI,0.7,1.1,Tug,SUPPORTING VESSELS,3.0,5.7,9803821,SINES
Container,Container Terminal XXI,52.1,52.5,Container Ship,CONTAINER SHIPS,1667.0,14.0,9745653,ANTWERP
Container,Container Terminal XXI,0.7,1.0,Tug,SUPPORTING VESSELS,3.0,5.3,9998200,SINES
Sines LNG,REN Atlantico Terminal LNG,30.4,39.4,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.5,9319179,SINES ANCH
10,Petrochemical Terminal,23.7,24.2,LPG Tanker,LPG CARRIERS,995.0,8.8,9371684,TARRAGONA
6,Oil and Products Terminal,22.5,23.0,Oil/Chemical Tanker,WET BULK,234.0,5.9,9555084,LEIXOES
7,Oil and Products Terminal,21.2,21.5,LPG Tanker,LPG CARRIERS,1119.0,9.7,9355290,SINES
3,Multi Purpose Terminal,25.3,30.1,Tug,SUPPORTING VESSELS,1.0,6.0,9071246,SINES
2,Multi Purpose Terminal,0.2,39.4,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.5,9319179,SINES ANCH
5,Oil and Products Terminal,0.5,39.4,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.5,9319179,SINES ANCH
5,Oil and Products Terminal,0.7,30.1,Tug,SUPPORTING VESSELS,1.0,6.0,9071246,SINES
5,Oil and Products Terminal,57.4,57.9,Oil/Chemical Tanker,WET BULK,1323.0,9.8,9724556,PURFLEET
4,Oil and Products Terminal,0.5,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,9071246,SINES
4,Oil and Products Terminal,30.2,30.7,LPG Tanker,LPG CARRIERS,361.0,5.5,9590670,SINES
3,Oil and Products Terminal,0.2,2.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,6.4,9319179,SINES
3,Oil and Products Terminal,38.1,38.5,Oil/Chemical Tanker,WET BULK,341.0,5.9,9373137,BARREIRO
3,Multi Purpose Terminal,1.2,127.6,Tug,SUPPORTING VESSELS,4.0,5.8,9071246,SINES
Container,Container Terminal XXI,5.8,6.2,Oil Products Tanker,WET BULK,89.0,7.3,9428671,LISBOA
Container,Container Terminal XXI,13.5,13.8,Tug,SUPPORTING VESSELS,4.0,5.2,9803821,SAN FERNANDO
