IMO number,MMSI,Name of the ship,Former names,Vessel type,Operating status,Flag,Gross tonnage,Deadweight,Length,Breadth,Engine type,Year of build,Builder,Classification society,Home port,Owner,Manager,Description,Engine model,Engine power
9326603,257990000,IBERICA KNUTSEN,"IBER                                                                               (2018, Norway)",LNG carrier,Active,Norway,93915 tons,77541 tons,277 m,43 m,MAK,2006,"DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - SEOUL, SOUTH KOREA",DET NORSKE VERITAS,HAUGESUND,"KNUTSEN OAS SHIPPING - HAUGESUND, NORWAY","KNUTSEN OAS SHIPPING - HAUGESUND, NORWAY","IBERICA KNUTSEN is a LNG carrier built in 2006 by DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - SEOUL, SOUTH KOREA. Currently sailing under the flag of Norway. Formerly also known as IBER. It's gross tonnage is 93915 tons.",,
9778117,,MSC NITYA B,,Container ship,,Portugal,113112 tons,,,,MAN-B&W,2017,,,,"MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND",MSC NITYA B is a Container ship built in 2017. It's gross tonnage is 113112 tons.,8G95ME-C,42310 KW
9349813,354530000,MSC CARMEN,BUXCITY                                                                               (2008),Container ship,Active,Panama,50963 tons,63359 tons,274 m,32 m,MAN-B&W,2008,"DAEWOO MANGALIA HEAVY INDUSTRIES - MANGALIA, ROMANIA",GERMANISCHER LLOYD,Panama,,,"MSC CARMEN is a Container ship built in 2008 by DAEWOO MANGALIA HEAVY INDUSTRIES - MANGALIA, ROMANIA. Currently sailing under the flag of Panama. Formerly also known as BUXCITY. It's gross tonnage is 50963 tons.",9K98ME-C,54326 KW
9800025,356664000,VARI TRADER,V                                                                               (2019),Chemical/Oil tanker,Active,Panama,11773 tons,19803 tons,145 m,23 m,,2018,,,Panama,,,VARI TRADER is a Chemical/Oil tanker built in 2018. Currently sailing under the flag of Panama. Formerly also known as V. It's gross tonnage is 11773 tons.,,
9720287,255806521,MSC MAXINE,MSC MAXINE                                                                               (2021),Container ship,Active,Portugal,95514 tons,110628 tons,299 m,48 m,MAN-B&W,2015,"JIANGNAN CHANGXING SHIPBUILDING - SHANGHAI, CHINA",GERMANISCHER LLOYD,Panama,"HANYUAN SHANGHAI SHIP - SHANGHAI, CHINA","MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MSC MAXINE is a Container ship built in 2015 by JIANGNAN CHANGXING SHIPBUILDING - SHANGHAI, CHINA. Currently sailing under the flag of Portugal. Formerly also known as MSC MAXINE. It's gross tonnage is 95514 tons.",,52000 KW
9301897,256210000,MARVEA,,Chemical/Oil tanker,Active,Malta,25385 tons,40161 tons,176 m,31 m,B&W,2006,"SLS HEAVY INDUSTRIES - BUSAN, SOUTH KOREA",REGISTRO ITALIANO NAVALE,VALLETTA,"MEDCARE SHIPPING - ATHENS, GREECE","MEDCARE SHIPPING - ATHENS, GREECE","MARVEA is a Chemical/Oil tanker built in 2006 by SLS HEAVY INDUSTRIES - BUSAN, SOUTH KOREA. Currently sailing under the flag of Malta. It's gross tonnage is 25385 tons.",,9480 KW
9482562,538004371,ELANDRA BALTIC,ZEMGALE                                                                               (2018),Chemical/Oil tanker,Active,Marshall Islands,29694 tons,51406 tons,183 m,32 m,B&W,2011,"HYUNDAI MIPO DOCKYARD CO. LTD. - ULSAN, SOUTH KOREA",,MARSHALL ISLANDS,"LATVIAN SHIPPING - RIGA, LATVIA","LATVIAN SHIPPING - RIGA, LATVIA","ELANDRA BALTIC is a Chemical/Oil tanker built in 2011 by HYUNDAI MIPO DOCKYARD CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Marshall Islands. Formerly also known as ZEMGALE. It's gross tonnage is 29694 tons.",6L60MCE,9480 KW
9719513,538006399,ECO CZAR,,LPG carrier,Active,Marshall Islands,4748 tons,5158 tons,99 m,17 m,,2015,"KITANIHON SHIPBUILDING - HACHINOHE, JAPAN",AMERICAN BUREAU OF SHIPPING,,"BRAVE MARITIME - ATHENS, GREECE","BRAVE MARITIME - ATHENS, GREECE","ECO CZAR is a LPG carrier built in 2015 by KITANIHON SHIPBUILDING - HACHINOHE, JAPAN. Currently sailing under the flag of Marshall Islands. It's gross tonnage is 4748 tons.",,
9294991,636021155,MSC MUMBAI,NORTHERN JADE                                                                               (2021)                          NORTHERN JADE                                                                               (2021)                          NORTHERN JADE                                                                               (2020)                          HOUSTON EXPRESS                                                                               (2018),Container ship,Active,Liberia,94483 tons,108106 tons,332 m,43 m,MAN-B&W,2005,"DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - GEOJE, SOUTH KOREA",GERMANISCHER LLOYD,HAMBURG,"NORDDEUTSCHE REEDEREI - HAMBURG, GERMANY","NORDDEUTSCHE REEDEREI - HAMBURG, GERMANY","MSC MUMBAI is a Container ship built in 2005 by DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as NORTHERN JADE, NORTHERN JADE, NORTHERN JADE, HOUSTON EXPRESS. It's gross tonnage is 94483 tons.",12K98ME-C,68470 KW
9290543,371466000,MSC SUSANNA,,Container ship,Active,Panama,108930 tons,117095 tons,336 m,45 m,,2005,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",GERMANISCHER LLOYD,Panama,"MEDITERRANEAN SHIPPING - SORRENTO, ITALY","MEDITERRANEAN SHIPPING - SORRENTO, ITALY","MSC SUSANNA is a Container ship built in 2005 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Panama. It's gross tonnage is 108930 tons.",,
