Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Year of build,Voyage Origin Port,Flag,Gross tonnage,Deadweight,Length,Breadth
11,0,2.6741486494265287,2.70805020110221,3,0,1208.0,15.9,2004,6,26,178,260,81,21
9,2,2.9391619220655967,2.954910279033736,11,4,27.0,4.8,2004,64,27,81,149,106,3
8,2,2.8622008809294686,3.7184382563554808,14,7,4.0,5.2,2007,105,32,156,274,116,7
11,0,3.095577608523707,3.100092288878234,3,0,281.0,14.9,2005,2,10,231,9,93,25
5,2,-1.2039728043259361,2.8273136219290276,5,6,2.0,5.2,2005,106,27,130,112,77,0
5,2,3.4965075614664802,3.5085558999826545,15,7,1387.0,6.7,2007,63,15,24,128,26,12
5,2,-0.916290731874155,3.2228678461377385,5,6,2.0,5.3,2005,105,27,130,112,77,0
11,0,2.8213788864092133,2.8449093838194073,3,0,1314.0,16.7,2009,44,17,141,231,61,21
12,4,0.3364722366212129,3.2228678461377385,5,6,2.0,5.3,2005,105,27,130,112,77,0
11,0,2.7536607123542622,2.772588722239781,3,0,1908.0,14.5,2004,74,26,178,259,81,21
2,1,2.740840023925201,2.7788192719904172,0,2,26.0,6.1,2011,8,26,0,95,24,10
9,2,1.5686159179138452,1.6486586255873816,11,4,294.0,5.2,2004,64,27,81,149,106,3
11,0,2.6946271807700692,2.70805020110221,3,0,997.0,12.8,2006,1,27,270,56,17,11
2,1,3.131136910560194,3.7184382563554808,14,7,4.0,5.2,2007,105,32,156,274,116,7
5,2,3.202746442938317,3.2228678461377385,15,7,1144.0,7.8,2008,105,33,27,129,27,12
5,2,-0.5108256237659907,3.2228678461377385,5,6,2.0,5.3,2005,105,27,130,112,77,0
12,4,3.258096538021482,3.2846635654062037,10,3,5473.0,12.4,2007,19,4,265,306,76,26
12,4,0.26236426446749106,0.6931471805599453,5,6,3.0,5.3,2005,106,27,130,112,77,0
11,0,2.0014800002101243,2.0412203288596382,14,7,50.0,7.9,2007,101,32,156,274,116,7
4,2,-0.10536051565782628,0.8754687373538999,17,6,3.0,5.3,1995,105,27,79,77,67,36
4,2,0.5877866649021191,0.8754687373538999,5,6,2.0,5.0,2005,106,27,130,112,77,0
5,1,2.0149030205422647,2.2082744135228043,17,6,1.0,3.7,1995,105,27,79,77,67,36
6,2,-0.35667494393873245,2.2082744135228043,17,6,1.0,3.7,1995,105,27,79,77,67,36
6,2,3.068052935133617,3.091042453358316,2,7,661.0,11.6,2010,60,17,58,172,41,16
6,2,-0.5108256237659907,3.40452517175483,17,6,1.0,6.0,1995,105,27,79,77,67,36
9,2,-0.916290731874155,3.40452517175483,17,6,1.0,6.0,1995,105,27,79,77,67,36
9,2,3.173878458937465,3.190476350346503,11,4,250.0,11.2,2015,63,22,121,166,114,4
11,0,3.8133070324889884,3.8155121050473024,3,0,1340.0,11.3,1996,44,17,221,308,90,25
12,4,3.414442608412176,3.673765816303888,5,6,2.0,5.5,2005,106,27,130,112,77,0
1,3,3.1654750481410856,3.186352633162641,11,4,995.0,8.8,2011,111,17,203,317,14,7
8,2,3.1135153092103742,3.1354942159291497,15,7,234.0,5.9,2010,63,17,181,281,0,8
9,2,3.054001181677967,3.068052935133617,11,4,1119.0,9.7,2006,105,7,104,153,114,4
5,1,3.2308043957334744,3.40452517175483,17,6,1.0,6.0,1995,105,27,79,77,67,36
4,1,-1.6094379124341003,3.673765816303888,5,6,2.0,5.5,2005,106,27,130,112,77,0
7,2,-0.6931471805599453,3.673765816303888,5,6,2.0,5.5,2005,106,27,130,112,77,0
7,2,-0.35667494393873245,3.40452517175483,17,6,1.0,6.0,1995,105,27,79,77,67,36
7,2,4.050044303325521,4.05871738457895,15,7,1323.0,9.8,2017,89,8,84,188,40,21
6,2,-0.6931471805599453,4.848900370910689,17,6,4.0,5.8,1995,105,27,79,77,67,36
6,2,3.407841924380824,3.4242626545931514,11,4,361.0,5.5,2011,105,14,46,120,28,15
5,2,-1.6094379124341003,0.7419373447293773,5,6,2.0,6.4,2005,105,27,130,112,77,0
5,2,3.6402142821326553,3.6506582412937387,15,7,341.0,5.9,2008,13,15,43,141,32,14
5,1,0.1823215567939546,4.848900370910689,17,6,4.0,5.8,1995,105,27,79,77,67,36
11,0,1.7578579175523736,1.824549292051046,14,7,89.0,7.3,2007,64,32,156,274,116,7
11,0,2.6100697927420065,2.624668592163159,3,0,901.0,11.8,2004,118,17,165,256,81,21
3,1,-0.916290731874155,4.8283137373023015,5,6,4.0,5.8,2005,105,27,130,112,77,0
11,0,3.1570004211501135,3.1612467120315646,3,0,2014.0,15.3,2005,74,17,177,261,81,21
11,0,2.4159137783010487,2.4423470353692043,3,0,1327.0,13.9,2000,73,17,163,267,81,21
11,0,3.2809112157876537,3.295836866004329,3,0,671.0,11.1,2001,118,26,149,245,68,21
5,1,4.160444363926624,4.848900370910689,17,6,4.0,5.8,1995,105,27,79,77,67,36
12,4,4.139955073474153,4.8283137373023015,5,6,4.0,5.8,2005,105,27,130,112,77,0
6,2,-0.2231435513142097,4.848900370910689,17,6,4.0,5.8,1995,105,27,79,77,67,36
4,2,-1.2039728043259361,4.8283137373023015,5,6,4.0,5.8,2005,105,27,130,112,77,0
4,2,0.1823215567939546,4.848900370910689,17,6,4.0,5.8,1995,105,27,79,77,67,36
11,0,2.9806186357439426,2.995732273553991,3,0,344.0,10.3,2007,2,30,211,315,90,24
7,2,3.0155349008501706,3.0301337002713233,15,7,2228.0,8.2,2007,17,21,198,64,12,9
11,0,3.2347491740244907,3.242592351485517,15,7,4.0,7.7,2010,105,17,181,281,0,8
11,0,4.471638793363569,4.475061500641071,3,0,324.0,8.8,1992,120,26,111,152,46,20
11,0,3.543853682063679,3.5524868292083815,3,0,673.0,16.3,2015,118,27,259,28,85,30
4,1,-1.6094379124341003,4.848900370910689,17,6,4.0,5.8,1995,105,27,79,77,67,36
11,0,3.3068867021909143,3.3141860046725258,3,0,3001.0,12.2,2012,65,26,30,87,104,30
4,2,0.0,4.848900370910689,17,6,4.0,5.8,1995,105,27,79,77,67,36
4,2,3.5234150143864045,3.535145354171894,4,7,542.0,10.2,2009,8,1,227,99,69,30
4,2,0.1823215567939546,4.8283137373023015,5,6,4.0,5.8,2005,105,27,130,112,77,0
6,2,3.6635616461296463,3.673765816303888,11,4,3248.0,12.7,2011,67,14,46,120,28,15
8,2,2.9652730660692823,2.990719731730447,15,7,4.0,8.2,2010,105,17,181,281,0,8
5,2,-0.916290731874155,2.2512917986064953,5,6,2.0,5.3,2005,105,27,130,112,77,0
5,2,3.292126286607793,3.3105430133940246,15,7,1177.0,12.8,2006,93,21,71,192,35,20
9,2,3.5524868292083815,3.5667118201397288,11,4,1600.0,11.1,2015,56,22,152,227,116,6
5,1,3.407841924380824,3.4242626545931514,6,1,198.0,10.0,2007,49,27,184,295,4,7
11,0,2.151762203259462,2.2082744135228043,15,7,4.0,6.5,2010,105,17,181,281,0,8
11,0,3.5524868292083815,3.5610460826040513,3,0,676.0,13.3,2006,118,26,159,251,69,21
8,2,1.9459101490553132,2.0014800002101243,15,7,134.0,9.1,2010,63,17,181,281,0,8
11,0,0.09531017980432493,0.3364722366212129,5,6,5.0,6.0,2005,105,27,130,112,77,0
11,0,3.742420221041966,3.7495040759303713,3,0,1303.0,10.1,2006,44,26,231,10,93,25
9,2,1.8718021769015913,1.9315214116032138,14,7,4.0,8.2,2007,105,32,156,274,116,7
7,2,3.4404180948154366,3.449987545831587,11,4,298.0,12.2,2010,27,30,161,242,10,7
6,2,-1.6094379124341003,3.7013019741124933,17,6,3.0,6.8,1995,64,27,79,77,67,36
6,2,3.56953269648137,3.5779478934066544,15,7,762.0,12.3,2011,111,9,57,170,41,16
11,0,2.7212954278522306,2.740840023925201,3,0,486.0,14.1,2005,1,27,269,60,17,11
11,0,3.0492730404820207,3.0587070727153796,3,0,245.0,12.5,2007,63,0,266,70,21,12
8,2,2.970414465569701,3.0007198150650303,11,4,249.0,12.4,2015,63,22,121,166,114,4
3,1,4.921439715291784,4.925803358579558,13,5,428.0,9.0,1985,27,26,19,209,13,10
11,0,2.954910279033736,2.975529566236472,14,7,4.0,7.4,2007,105,32,156,274,116,7
11,0,3.2308043957334744,3.2347491740244907,3,0,1308.0,14.0,1999,44,26,163,265,81,21
6,2,-0.916290731874155,4.23410650459726,5,6,4.0,4.9,2005,105,27,130,112,77,0
9,2,1.9740810260220096,2.0412203288596382,14,7,4.0,6.9,2007,101,32,156,274,116,7
5,2,-1.6094379124341003,3.3105430133940246,17,6,2.0,5.5,1995,105,27,79,77,67,36
5,2,3.6082115510464816,3.6216707044204863,15,7,251.0,10.0,2008,11,15,43,141,32,14
7,2,3.449987545831587,3.462606009790799,15,7,773.0,11.4,2007,82,15,24,128,26,12
2,1,1.8870696490323797,3.529297384289471,15,7,252.0,6.0,2008,63,33,27,129,27,12
3,1,3.3775875160230218,3.391147045808654,6,1,249.0,9.7,2011,119,23,72,174,110,1
11,0,3.2108436531709366,3.2228678461377385,3,0,1933.0,15.9,1997,74,17,164,246,81,21
8,2,2.2512917986064953,2.302585092994046,14,7,4.0,6.0,2007,101,32,156,274,116,7
11,0,3.8133070324889884,3.8199077165203406,3,0,308.0,13.8,1999,120,22,36,135,41,14
7,2,3.288401887516811,3.529297384289471,15,7,252.0,6.0,2008,63,33,27,129,27,12
11,0,2.4336133554004498,2.4595888418037104,14,7,43.0,8.0,2007,101,32,156,274,116,7
11,0,3.505557396986398,3.5115454388310208,3,0,334.0,14.4,2012,66,26,28,96,103,30
11,0,2.803360380906535,2.8154087194227095,3,0,279.0,18.9,2005,2,22,232,1,99,25
6,2,0.0,3.5496173867804286,17,6,3.0,5.7,1995,105,27,79,77,67,36
6,2,0.0,4.23410650459726,5,6,4.0,4.9,2005,105,27,130,112,77,0
6,2,3.711130063048756,3.728100167267218,4,7,891.0,11.7,2012,107,13,185,13,57,25
9,2,3.0587070727153796,3.077312260546414,11,4,248.0,11.8,2006,63,7,104,153,114,4
8,2,2.995732273553991,3.0252910757955354,15,7,4.0,7.7,2010,105,17,181,281,0,8
5,2,-0.916290731874155,2.174751721484161,5,6,3.0,5.4,2005,106,27,130,112,77,0
5,2,3.1441522786722644,3.1612467120315646,2,7,7.0,5.3,2010,25,17,58,172,41,16
11,0,-0.10536051565782628,0.09531017980432493,17,6,4.0,7.4,1995,105,27,79,77,67,36
4,1,4.4343818650078095,4.440295542797857,13,5,289.0,10.8,1983,27,26,199,142,116,6
6,2,0.4054651081081644,2.2617630984737906,17,6,2.0,6.0,1995,105,27,79,77,67,36
7,2,3.0007198150650303,3.0204248861443626,12,4,6.0,4.8,2007,94,9,201,57,12,9
11,0,2.856470206220483,2.8678989020441064,15,7,4.0,5.4,2010,63,17,181,281,0,8
11,0,3.173878458937465,3.1780538303479458,3,0,672.0,15.0,2017,118,21,8,79,95,30
11,0,-1.6094379124341003,-0.5108256237659907,17,6,6.0,6.5,1995,64,27,79,77,67,36
11,0,-0.35667494393873245,0.09531017980432493,5,6,6.0,6.4,2005,105,27,130,112,77,0
11,0,3.0106208860477417,3.0204248861443626,3,0,986.0,12.3,2015,62,17,236,6,83,30
2,1,3.784189633918261,3.7999735016195233,3,0,5.0,6.9,2015,105,26,255,33,83,30
11,0,2.6741486494265287,2.7013612129514133,3,0,1508.0,13.4,2013,47,17,238,54,83,30
5,2,-0.6931471805599453,1.4586150226995167,17,6,3.0,5.2,1995,64,27,79,77,67,36
11,0,2.2823823856765264,2.312535423847214,3,0,1914.0,15.5,2004,74,26,178,260,81,21
9,2,3.086486636822455,3.104586678466073,11,4,214.0,12.6,2015,49,22,175,230,116,7
8,2,2.8273136219290276,2.8449093838194073,11,4,249.0,12.7,2015,63,22,121,166,114,4
4,2,-0.35667494393873245,2.797281334830153,17,6,4.0,5.0,1995,105,27,79,77,67,36
4,2,-0.916290731874155,3.068052935133617,5,6,4.0,5.4,2005,105,27,130,112,77,0
4,2,3.5467396869528134,3.55820113047182,4,7,2323.0,11.8,2011,28,22,190,63,58,26
11,0,3.332204510175204,3.339321977944068,3,0,9619.0,13.6,2010,71,26,32,115,103,32
6,2,-1.6094379124341003,4.26689632742025,5,6,3.0,6.0,2005,105,27,130,112,77,0
2,1,3.1822118404966093,3.202746442938317,14,7,3.0,6.3,2007,101,32,156,274,116,7
11,0,3.3603753871419,3.370738174177447,3,0,705.0,14.7,2015,118,26,255,33,83,30
5,1,3.5085558999826545,3.520460802488973,13,5,4770.0,9.0,1987,45,8,114,121,108,3
8,2,2.7212954278522306,3.5409593240373143,15,7,122.0,8.9,2010,105,17,181,281,0,8
7,2,2.4423470353692043,2.4765384001174837,12,4,1163.0,10.8,2007,94,9,201,57,12,9
5,2,3.6712245188752153,3.6838669122903918,2,7,347.0,9.2,2010,25,17,58,172,41,16
6,2,-0.2231435513142097,0.26236426446749106,17,6,3.0,6.0,1995,64,27,79,77,67,36
6,2,2.884800712846709,2.9014215940827497,15,7,274.0,9.7,2008,63,15,43,141,32,14
11,0,3.5553480614894135,3.5610460826040513,3,0,673.0,11.9,2008,118,27,138,239,62,21
11,0,2.9496883350525844,2.970414465569701,3,0,61.0,7.1,2019,6,17,7,76,94,30
12,4,2.9069010598473755,3.5409593240373143,15,7,122.0,8.9,2010,105,17,181,281,0,8
4,1,-0.5108256237659907,4.26689632742025,5,6,3.0,6.0,2005,105,27,130,112,77,0
8,2,2.6026896854443837,2.631888840136646,14,7,4.0,7.6,2007,105,32,156,274,116,7
11,0,3.2809112157876537,3.292126286607793,3,0,669.0,16.2,2010,118,17,167,248,80,21
11,0,2.9338568698359038,2.954910279033736,14,7,4.0,6.3,2007,105,32,156,274,116,7
11,0,3.520460802488973,3.535145354171894,3,0,2306.0,13.8,2006,45,17,230,4,100,25
5,1,3.299533727885655,3.3214324131932926,6,1,250.0,10.3,2011,119,23,72,174,110,1
5,1,-0.2231435513142097,4.26689632742025,5,6,3.0,6.0,2005,105,27,130,112,77,0
9,2,2.785011242238338,2.803360380906535,11,4,246.0,11.1,2006,63,7,104,153,114,4
7,2,-1.2039728043259361,4.26689632742025,5,6,3.0,6.0,2005,105,27,130,112,77,0
7,2,3.1822118404966093,3.1945831322991562,15,7,820.0,12.3,2014,12,22,64,180,41,16
4,2,0.5306282510621704,2.5257286443082556,5,6,2.0,5.2,2005,105,27,130,112,77,0
6,2,1.0986122886681098,4.07753744390572,17,6,4.0,5.0,1995,64,27,79,77,67,36
11,0,3.086486636822455,3.100092288878234,3,0,997.0,11.6,2008,62,26,195,282,72,24
8,2,3.0726933146901194,3.091042453358316,15,7,123.0,9.4,2010,63,17,181,281,0,8
5,2,-0.916290731874155,2.5257286443082556,5,6,2.0,5.2,2005,105,27,130,112,77,0
7,2,-1.6094379124341003,2.5257286443082556,5,6,2.0,5.2,2005,105,27,130,112,77,0
11,0,3.32862668882732,3.339321977944068,3,0,1192.0,12.9,2019,6,17,7,76,94,30
2,1,3.624340932976365,3.6375861597263857,14,7,4.0,7.3,2007,101,32,156,274,116,7
7,2,3.104586678466073,3.1179499062782403,15,7,226.0,11.4,2008,63,33,27,129,27,12
7,2,-1.2039728043259361,2.2192034840549946,5,6,1.0,5.1,2005,106,27,130,112,77,0
11,0,3.1822118404966093,3.1986731175506815,3,0,1947.0,12.1,2004,74,26,172,276,81,21
11,0,3.8372994592322094,3.8416005411316,3,0,1476.0,9.3,2012,98,17,238,54,83,30
9,2,3.295836866004329,3.3105430133940246,11,4,701.0,9.8,2008,87,15,129,193,114,4
5,1,1.7227665977411035,2.533696813957432,14,7,4.0,7.4,2007,105,32,156,274,116,7
11,0,2.928523523860541,2.9391619220655967,3,0,1138.0,8.9,2016,62,21,8,79,96,30
5,1,3.9982007016691985,4.007333185232471,6,1,1342.0,11.7,2009,36,26,257,73,20,10
9,2,1.840549633397487,2.533696813957432,14,7,4.0,7.4,2007,105,32,156,274,116,7
4,2,-0.6931471805599453,3.8110970868381857,17,6,4.0,5.4,1995,105,27,79,77,67,36
4,2,0.3364722366212129,3.2846635654062037,5,6,3.0,5.5,2005,105,27,130,112,77,0
4,2,3.8877303128591016,3.899950424193877,4,7,296.0,10.4,2011,40,17,38,155,99,34
1,3,3.735285826928092,3.744787086052232,11,4,374.0,5.6,2016,111,11,26,93,25,11
3,1,-0.5108256237659907,1.3609765531356006,17,6,3.0,5.0,1995,105,27,79,77,67,36
2,1,-0.916290731874155,1.3862943611198906,5,6,2.0,5.0,2005,106,27,130,112,77,0
3,1,4.5612182984589085,4.5685062016165,0,2,960.0,11.3,2013,37,26,148,304,52,21
11,0,2.797281334830153,2.8154087194227095,14,7,4.0,5.6,2007,101,32,156,274,116,7
7,2,-0.6931471805599453,2.128231705849268,5,6,3.0,5.6,2005,106,27,130,112,77,0
7,2,-0.916290731874155,3.4242626545931514,5,6,4.0,5.5,2005,105,27,130,112,77,0
4,2,-0.916290731874155,3.4242626545931514,5,6,4.0,5.5,2005,105,27,130,112,77,0
9,2,2.302585092994046,2.3608540011180215,11,4,276.0,6.1,2014,64,30,146,220,116,6
11,0,3.5322256440685598,3.543853682063679,3,0,923.0,10.2,1990,118,26,160,262,81,21
12,4,-0.35667494393873245,3.4242626545931514,5,6,4.0,5.5,2005,105,27,130,112,77,0
