Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Year of build,Voyage Origin Port,Flag,Gross tonnage,Deadweight,Length,Breadth
Container,Container Terminal XXI,14.5,15.0,Container Ship,CONTAINER SHIPS,1208.0,15.9,2004,ANTWERP,Panama,54774 tons,66786 tons,294 m,32 m
7,Oil and Products Terminal,18.9,19.2,LPG Tanker,LPG CARRIERS,27.0,4.8,2004,LISBOA,Portugal,2708 tons,3090 tons,74 m,14 m
6,Oil and Products Terminal,17.5,41.2,Oil Products Tanker,WET BULK,4.0,5.2,2007,SINES,Spain,4969 tons,6850 tons,99 m,18 m
Container,Container Terminal XXI,22.1,22.2,Container Ship,CONTAINER SHIPS,281.0,14.9,2005,ALGECIRAS,Germany,89954 tons,105034 tons,324 m,42 m
3,Oil and Products Terminal,0.3,16.9,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.2,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
3,Oil and Products Terminal,33.0,33.4,Oil/Chemical Tanker,WET BULK,1387.0,6.7,2007,LEIXOES,Italy,13472 tons,19991 tons,149 m,23 m
3,Oil and Products Terminal,0.4,25.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,16.8,17.2,Container Ship,CONTAINER SHIPS,1314.0,16.7,2009,GIOIA TAURO,Liberia,41322 tons,52316 tons,258 m,32 m
Sines LNG,REN Atlantico Terminal LNG,1.4,25.1,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
Container,Container Terminal XXI,15.7,16.0,Container Ship,CONTAINER SHIPS,1908.0,14.5,2004,NEMRUT,Panama,54774 tons,66694 tons,294 m,32 m
1A,Multi Purpose Terminal,15.5,16.1,Bulk Carrier,DRY BULK,26.0,6.1,2011,ARZEW,Panama,10154 tons,15332 tons,145 m,21 m
