"Dock Timestamp","Undock Timestamp","Vessel Name","Berth Name","Terminal Name","Current Port","Current Port Ata","Destination Port","Load Condition At Arrival","Current Port Atd","Load Condition At Departure","Time At Berth","Time At Port","Vessel Type - Generic","Capacity - Dwt","Capacity - Gt",Built,"Current Port Unlocode","Port Operation",Mmsi,Imo,"Current Port Country","Draught At Arrival","Origin Port Unlocode","Origin Port Country","Commercial Market","Commercial Size Class","Capacity - Teu","Capacity - Liquid Gas","Voyage Distance Travelled","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port","Voyage Time Underway","Draught At Departure"
"2024-04-03 22:19:00",,"CASTELO DE SAO JORGE",3,"Multi Purpose Terminal",SINES,"2024-04-03 06:26:00",,N/A,,,,,"Fire Fighting Vessel",162,386,2005,PTSIE,,263625000,9319179,PT,6.5,,PT,"SUPPORTING VESSELS",,,,4,5.1,6.7,0.0,"2024-04-03 06:25:00","SINES ANCH",0.0,
"2024-04-03 21:36:00","2024-04-03 22:03:00","CASTELO DE SAO JORGE",3,"Oil and Products Terminal",SINES,"2024-04-03 06:26:00",,N/A,,,0.5,,"Fire Fighting Vessel",162,386,2005,PTSIE,,263625000,9319179,PT,6.5,,PT,"SUPPORTING VESSELS",,,,4,5.1,6.7,0.0,"2024-04-03 06:25:00","SINES ANCH",0.0,
"2024-04-03 21:32:00","2024-04-03 22:08:00","CTE CELSO MADEIRA",3,"Oil and Products Terminal",SINES,"2024-04-03 19:28:00",,N/A,,,0.6,,"Pilot Vessel",,,,PTSIE,,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,6,14.8,17.4,0.0,"2024-04-03 19:06:00",SINES,0.4,
"2024-04-03 19:53:00",,"VB LUSITANIA",Container,"Container Terminal XXI",SINES,"2024-04-03 19:33:00",,N/A,,,,,Tug,,359,2024,PTSIE,,255915750,9998200,PT,5.7,PTSIE,PT,"SUPPORTING VESSELS",,,,4,7.3,9.3,0.0,"2024-04-03 19:04:00",SINES,0.5,
"2024-04-03 19:49:00","2024-04-03 20:40:00",SR36,2,"Multi Purpose Terminal",SINES,"2024-04-03 18:50:00",,N/A,,,0.9,,SAR,,,,PTSIE,,263058002,0,PT,1.0,PTSIE,PT,"SUPPORTING VESSELS",,,,15,19.6,32.7,0.1,"2024-04-03 17:56:00",SINES,0.9,
"2024-04-03 19:47:00",,"WEC VAN GOGH",Container,"Container Terminal XXI",SINES,"2024-04-03 19:32:00",,"Partially Laden",,,,,"Container Ship",11408,9991,2004,PTSIE,,212641000,9246566,PT,8.1,MAAGA,MA,"CONTAINER SHIPS","SMALL FEEDER",868,,484,10.9,16.7,2.1,"2024-04-02 01:13:00",AGADIR,42.3,
"2024-04-03 18:40:00","2024-04-03 19:05:00","CTE CELSO MADEIRA",Container,"Container Terminal XXI",SINES,"2024-04-03 18:31:00",SINES,N/A,"2024-04-03 19:06:00",N/A,0.4,0.6,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,3,17.4,18.0,0.0,"2024-04-03 18:23:00",SINES,0.1,0.0
"2024-04-03 18:29:00",,"MED ANTARES",Container,"Container Terminal XXI",SINES,"2024-04-03 12:34:00",,N/A,,,,,Tug,156,,2019,PTSIE,,255806406,9803821,PT,6.0,PTSIE,PT,"SUPPORTING VESSELS",,,,4,6.8,11.3,0.4,"2024-04-03 11:41:00",SINES,0.9,
"2024-04-03 17:55:00","2024-04-03 18:20:00","CTE CELSO MADEIRA",7,"Oil and Products Terminal",SINES,"2024-04-03 06:08:00",SINES,N/A,"2024-04-03 18:23:00",N/A,0.4,12.3,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,6,11.2,16.8,0.0,"2024-04-03 05:42:00",SINES,0.4,0.0
"2024-04-03 12:31:00","2024-04-03 19:03:00","VB LUSITANIA",Container,"Container Terminal XXI",SINES,"2024-04-03 12:15:00",SINES,N/A,"2024-04-03 19:04:00",N/A,6.5,6.8,Tug,,359,2024,PTSIE,NA,255915750,9998200,PT,5.7,PTSIE,PT,"SUPPORTING VESSELS",,,,4,6.9,9.7,0.1,"2024-04-03 11:42:00",SINES,0.6,5.7
