"Vessel Name","Destination Port","Reported Eta","Arrived At","Capacity - Dwt","Vessel Type - Generic",Flag,"Current Port","Reported Destination","Navigational Status",Build,Length,Width,"Current Port Country","Draught Max","Draught Min","Vessel Type - Detailed","Launch Date",Imo,Eni,Mmsi,"Global Area","Local Area","Current Port Unlocode"
"SS SHIELDHALL",SOUTHAMPTON,"2024-03-23 14:00:00","2024-03-23 14:08:00",1870,Passenger,"United Kingdom",SOUTHAMPTON,"GB SOU",Moored,1955,82.0,13.0,GB,3.6,2.9,"Passenger Vessel",,5322752,,232003964,"UK Coast & Atlantic","English Channel",GBSOU
"SIMONE ASSENS",ASSENS,"2024-03-24 18:20:00","2024-03-24 16:27:00",,Fishing,Denmark,ASSENS,,Moored,,15.0,5.0,DK,2.7,2.5,"Other Fishing",,0,0,219017501,"Baltic Sea","Baltic Sea",DKASN
BRAGDOYA,KRISTIANSAND,"2024-03-24 21:40:00","2024-03-24 19:56:00",,Passenger,Norway,KRISTIANSAND,KRISTIANSAND,Moored,,20.0,5.0,NO,2.5,1.5,"Search & Rescue",,0,,257376700,"Norwegian Coast","North Sea",NOKRS
"DING SHENG",XINHUI,"2024-03-24 21:45:00","2024-03-26 04:46:00",5020,Cargo,China,XINHUI,XINHUI,Moored,2010,99.8,16.0,CN,5.8,3.0,"General Cargo",,8649113,0,413356930,"South China","South China",CNXIN
"SUVARNA SWARAJYA",COLOMBO,"2024-03-24 22:00:00","2024-03-24 16:53:00",32902,Tanker,India,"COLOMBO ANCH",COLOMBO,"At Anchor",1998,172.9,25.9,LK,11.4,4.5,"Oil Products Tanker",,9170432,,419212000,"East Coast India","Laccadive Sea",
SATURN,MUUGA,"2024-03-24 22:00:00","2024-03-24 19:17:00",46,Tug,Finland,"TALLINN OLD CITY",MUUGA,Moored,2004,19.1,9.0,EE,4.1,4.1,Tug,,9315410,,230710000,"Baltic Sea","Finland Gulf",EETLL
"OCEAN STAR",SOHAR,"2024-03-24 22:00:00",,,Cargo,Guinea-Bissau,"BANDAR IMAM KHOMEINI",SOHAR,Stopped,,225.0,33.0,IR,,,"Other Cargo",,0,0,630001005,"Arabian Gulf","Persian Gulf",IRBIK
TRANSATLANTIC,"JORF LASFAR","2024-03-24 22:00:00","2024-03-25 15:27:00",23000,Cargo,Liberia,"JORF LASFAR","MA JFL",Moored,2009,159.6,24.4,MA,10.6,5.1,"Bulk Carrier",2008-10-31,9506100,,636017798,"West Africa","West Africa",MAJFL
KASTOR,PARANAGUA,"2024-03-24 22:00:00","2024-03-25 00:55:00",81600,Cargo,Liberia,PARANAGUA,PARANAGUA,Moored,2020,229.0,32.3,BR,14.7,6.9,"Bulk Carrier",,9843405,0,636019440,"East Coast South America","East Coast South America",BRPNG
"AL WAHSH","AL JUBAIL","2024-03-24 22:00:00","2024-03-24 20:46:00",676,Tug,UAE,"AL JUBAIL ANCH","JUBAYL KSA","At Anchor",1981,43.5,13.7,SA,5.8,5.0,Tug,1981-03-07,8017190,,470135000,"Arabian Gulf","Persian Gulf",
