model,n,n_vessels,split,r2_log_mean,rmse_log_mean,r2_hours_mean,rmse_hours_mean,mae_hours_mean,median_ae_hours_mean,r2_log_sd,rmse_log_sd,r2_hours_sd,rmse_hours_sd,mae_hours_sd,median_ae_hours_sd,config
Random Forest (thesis: 24 trees),1769,340,random,0.8694465289727195,0.6587247958430613,0.8737496107471033,7.133036219350534,2.1496530148592905,0.23720589494257363,0.02697202518994966,0.06453594082477881,0.04095472009856642,1.0914867524044942,0.4134986407834274,0.020324517421385406,A. Thesis baseline (as published)
Extra Trees (500 trees),1769,340,random,0.8833131737837702,0.6197682320687844,0.8704596946343509,7.294519357383605,2.0219370879014913,0.25524916221148025,0.0350313079569425,0.08686041217540401,0.03788039647564653,1.5189450947696688,0.4265925094087139,0.024870088156698167,A. Thesis baseline (as published)
Random Forest (thesis: 24 trees),1769,340,grouped by vessel,0.490730226268865,1.086169639981107,0.7098599970885939,8.755154787382528,3.715914312563567,0.8109777772639465,0.4563561444140139,0.5811705776059578,0.2423319748476412,3.073585140778781,2.230104397606154,0.9400743922538922,A. Thesis baseline (as published)
Extra Trees (500 trees),1769,340,grouped by vessel,0.7046296065699609,0.8641233877547215,0.8077747271848963,7.476058317601971,2.7087479916131048,0.6843185337094677,0.17005569865479206,0.3916838408371932,0.0979929806016691,2.0697465646758477,0.6767658866750387,0.43251322408217957,A. Thesis baseline (as published)
Random Forest (thesis: 24 trees),1769,340,random,0.8807560177223304,0.6294404798492457,0.864578851704137,7.4797374173399955,2.102769067481699,0.22549376874060476,0.02452634399637387,0.060052894390682315,0.041002662108695416,1.7496454446384868,0.45501525856781994,0.022254483720075123,B. + size fields parsed as numbers
Extra Trees (500 trees),1769,340,random,0.8843837442536506,0.6166811982064997,0.8851520662668128,6.8672576736442865,1.8589676133837483,0.2384898216314943,0.03567361503031406,0.0885819367367881,0.03546986209986471,1.5223995752285877,0.4353082793488896,0.03339528570040164,B. + size fields parsed as numbers
Random Forest (thesis: 24 trees),1769,340,grouped by vessel,0.7829444451451606,0.7044972793039344,0.7685100249749184,8.074341947078988,2.2884402968266406,0.23383815902538324,0.0651305095266389,0.17839092492479297,0.14391112816806903,2.4098089055138465,0.6248346139963958,0.03306551485491388,B. + size fields parsed as numbers
Extra Trees (500 trees),1769,340,grouped by vessel,0.7931826855943522,0.7344234931382244,0.8126920230658623,7.294003599439184,2.2856053657101634,0.37933028612343617,0.056778059003586824,0.28936669073652677,0.10856902555480749,2.284194714842328,0.608644856853468,0.09574214198346911,B. + size fields parsed as numbers
Random Forest (thesis: 24 trees),795,334,random,0.852389797541252,0.26219231049149844,0.8883887042275612,7.254010719631476,2.468914288135105,0.1948609940417608,0.09363993056782509,0.08676540482929086,0.08337173420756182,2.41838571085429,0.6375922230973043,0.017927289614288095,C. + service craft removed
Extra Trees (500 trees),795,334,random,0.8837260200561697,0.2297963801331278,0.9039234070898907,6.786697952176139,2.1312385394133546,0.17156875011261014,0.08173136135624536,0.08885549983498012,0.0722704190650618,2.82788761052923,0.7553142754126324,0.008021558317806184,C. + service craft removed
Random Forest (thesis: 24 trees),795,334,grouped by vessel,0.8950910964077575,0.20044153633784925,0.9093973432721272,5.994225306168263,1.9122523632180033,0.18124921673236755,0.08525869112284151,0.11019015230542352,0.09482264690417049,3.291524454491614,0.9021924755204407,0.009136536114076929,C. + service craft removed
Extra Trees (500 trees),795,334,grouped by vessel,0.9114756244692709,0.1813005473058628,0.937462685105535,4.976283852566853,1.7525049776847517,0.14127500698985526,0.07786460011563437,0.1100978275837083,0.0664760221686355,2.8290823877738656,0.9869748710510234,0.013879871980883429,C. + service craft removed
Random Forest (thesis: 24 trees),753,334,random,0.8409955975683587,0.26363851282202466,0.9099332384157754,6.172831808491702,2.20515835772571,0.20934700198147596,0.05769030008559807,0.05184134011703622,0.04511154288577009,1.119568084204904,0.23348562214445664,0.018686618887206522,D. + one call per vessel per day
Extra Trees (500 trees),753,334,random,0.8823527096508655,0.2253953807186063,0.9477185929958984,4.7064243861974076,1.7682245251709552,0.1898646212885083,0.04963034203022789,0.05725017807195213,0.024240036916087875,0.8855195639831376,0.17160263431470535,0.03177171124554633,D. + one call per vessel per day
Random Forest (thesis: 24 trees),753,334,grouped by vessel,0.8979400810702275,0.2007546623383072,0.9511132726543418,4.671691959851357,1.7058195256404656,0.16623814101772733,0.06956371335487595,0.09614905764315165,0.034265659653501764,1.8085800890478057,0.6800411428229836,0.014581745921723562,D. + one call per vessel per day
Extra Trees (500 trees),753,334,grouped by vessel,0.9170023099396453,0.17791928416109787,0.9522137931727757,4.569196683017866,1.6658342978891156,0.15558990384126098,0.06455144966050547,0.09749806717552253,0.039705426028150755,2.248009180490631,0.8440824142471888,0.024585460805565347,D. + one call per vessel per day
Random Forest (thesis: 24 trees),332,332,random,0.9658567646091129,0.09676808050790107,0.961175298523937,5.681374922254188,1.7849349735590792,0.2997846214996972,0.042051792270234215,0.054993387645463514,0.03615136816192142,4.061556613456229,1.1651296777416087,0.07461319550356078,E. + one call per vessel (manuscript-style)
Extra Trees (500 trees),332,332,random,0.9637635102326214,0.10411223885400434,0.9493184442891506,6.421485614379925,1.8280494721850746,0.16817326431649846,0.038303370019911895,0.043868417240066,0.04238469534702634,3.8193582444360064,0.935587790965299,0.03154947771216084,E. + one call per vessel (manuscript-style)
Random Forest (thesis: 24 trees),332,332,grouped by vessel,0.9656185967938656,0.09661464024680326,0.9736037863732306,3.960287920448107,1.4477133757249923,0.26030331395501205,0.045598302938360945,0.05289314999916801,0.02392032504547952,2.1470855814321146,0.8482732407177365,0.020197160498990945,E. + one call per vessel (manuscript-style)
Extra Trees (500 trees),332,332,grouped by vessel,0.9673924851934677,0.08979161865182364,0.977169911908417,3.468982764602721,1.1763394711569188,0.14666693924746071,0.049182996196902536,0.05789691980442198,0.024220986288337534,1.2587271007129421,0.2984369899167873,0.037782555785339046,E. + one call per vessel (manuscript-style)
