feature_set,protocol,model,n_train_test,r2_hours,rmse_h,mae_h,median_ae_h,within_6h,within_12h,r2_sd
particulars only,grouped,Baseline (median stay),5927/2221,-0.0638541421616118,25.09803695217997,14.174105215760768,9.60833333333333,0.3401438064349797,0.5945790965886191,0.0758566407272288
particulars only,grouped,Ridge,5927/2221,-236.8371917273949,235.67927913400155,17.960502419726282,7.27630074681515,0.4214025839632727,0.7169576787721607,334.8919683631956
particulars only,grouped,Gradient Boosting,5927/2221,0.2171023184821535,21.542106327094764,11.28874103212755,6.855220797640184,0.4484045220073889,0.7476246186788438,0.0571619173627745
particulars only,grouped,HistGradientBoosting,5927/2221,0.2210207547199827,21.50911023784216,11.718740347620743,7.291285465401589,0.4244432856112483,0.7100112136783658,0.0643733027588093
particulars only,grouped,Random Forest,5927/2221,0.2335957361349512,21.331257194205968,11.198582238931548,6.737268304135841,0.458436786830379,0.7439927520347728,0.0645332434935318
particulars only,grouped,Extra Trees,5927/2221,0.2609600152448313,20.931302008137592,10.898089867420907,6.541210868044405,0.468280305161166,0.7584907409453655,0.0487167873418699
particulars only,temporal,Baseline (median stay),6479/1669,-0.0744273251030618,23.83505281848555,13.683213501098464,8.86666666666667,0.3738765727980827,0.6189334931096465,0.0
particulars only,temporal,Ridge,6479/1669,-0.3164839140374738,26.383680228277097,12.489923775855532,7.240522121982217,0.4218094667465548,0.7207908927501497,0.0
particulars only,temporal,Gradient Boosting,6479/1669,0.2152741279907541,20.36978884966567,11.248520456455395,6.28973394637712,0.4831236269223087,0.7245855801877372,0.0009647714155849
particulars only,temporal,HistGradientBoosting,6479/1669,0.2586921157606368,19.798254641949885,10.70482973316792,6.083542543590806,0.4943079688436189,0.7381665668064711,0.0
particulars only,temporal,Random Forest,6479/1669,0.2478976802785398,19.941867011111565,10.70134527493942,5.900651687727501,0.505692031156381,0.74415817855003,0.0019559861237153
particulars only,temporal,Extra Trees,6479/1669,0.2488969926189852,19.928592942939375,10.685943185217733,6.013075175198362,0.4991012582384661,0.7475534252047135,0.0033293574605668
+ vessel history,grouped,Baseline (median stay),5927/2221,-0.0638541421616118,25.09803695217997,14.174105215760768,9.60833333333333,0.3401438064349797,0.5945790965886191,0.0758566407272288
+ vessel history,grouped,Ridge,5927/2221,0.1015375102305805,23.076522716676735,11.739894291180573,6.397540460287819,0.4761347846254501,0.7413047681527519,0.1018198953504862
+ vessel history,grouped,Gradient Boosting,5927/2221,0.232904267939542,21.30492340319317,11.059830873868073,6.492764729935087,0.4711726306527097,0.7531724205774692,0.0379341806574267
+ vessel history,grouped,HistGradientBoosting,5927/2221,0.247959724327181,21.099898536906316,11.29410713531585,6.858830783172891,0.44813070357843,0.7353292633751731,0.0367960220029749
+ vessel history,grouped,Random Forest,5927/2221,0.2620712158652342,20.90038930800265,11.056474114394588,6.609643424784494,0.4604637064397686,0.7406164860231745,0.0269732920653335
+ vessel history,grouped,Extra Trees,5927/2221,0.2770198824749328,20.683284603747843,10.621049814407645,6.130725573792125,0.4896358833577143,0.7681871832373931,0.045583076049665
+ vessel history,temporal,Baseline (median stay),6479/1669,-0.0744273251030618,23.83505281848555,13.683213501098464,8.86666666666667,0.3738765727980827,0.6189334931096465,0.0
+ vessel history,temporal,Ridge,6479/1669,0.0715777415671615,22.15645974570557,11.69865233902697,6.584016920914341,0.4673457159976033,0.7267825044937087,0.0
+ vessel history,temporal,Gradient Boosting,6479/1669,0.2496842513752501,19.916875221920545,10.926112346801553,6.00852927076264,0.4977032154983024,0.7371679648492111,0.0209498569971754
+ vessel history,temporal,HistGradientBoosting,6479/1669,0.2641447015956193,19.72530862020565,10.823345911010074,6.024057811257684,0.4979029358897542,0.7249850209706411,0.0
+ vessel history,temporal,Random Forest,6479/1669,0.2704417833709185,19.640704567068003,10.538048029895071,5.84788532148363,0.5088875574196124,0.7433592969842221,0.0027370945676747
+ vessel history,temporal,Extra Trees,6479/1669,0.2699044119456619,19.647943692722155,10.478557976867563,5.780839199800991,0.5136808468144598,0.7453565008987417,0.0022820509434384
