,mean_abs_shap
num__prev_time_at_berth_h,0.16162287416392085
cat__berth_location,0.0914954191690405
num__visit_index,0.06243560218110757
num__max_speed_kn,0.05785255488543592
num__deadweight_t,0.05464217633322606
num__beam_m,0.03847479613452775
num__gross_tonnage,0.03275192489980552
cat__vessel_type,0.03260078887805928
num__prev_call_count,0.028878513313533874
num__loa_m,0.028082425205857853
num__summer_draft_m,0.01991895896801499
num__wait_from_port_entry_h,0.017906713997981737
num__net_tonnage,0.014641121584984332
num__vessel_age_years,0.014563453283295932
num__missingindicator_teu_capacity,0.01034366505738366
num__berth_month,0.010213026826411072
num__berth_hour,0.009457248319292023
num__teu_capacity,0.008834905565259978
num__anchorage_hours,0.008322284882807784
num__berth_dayofweek,0.008051581408120227
cat__anchorage,0.005437674543642825
cat__navigation_type,0.003416130779334524
cat__propulsion,0.0022630349684885473
num__missingindicator_max_speed_kn,0.0015801665518079976
num__missingindicator_prev_time_at_berth_h,0.0011938049545632706
num__berth_is_weekend,0.0010177589086977413
num__missingindicator_anchorage_hours,0.0008332453198405894
num__was_anchored,0.0008285110147984436
num__missingindicator_net_tonnage,3.429777683233841e-06
num__missingindicator_deadweight_t,0.0
