,mean_abs_shap,impurity_importance
Berth Name,0.29419085312583293,0.21777135382671128
Voyage Distance Travelled,0.1708785396466386,0.19095929427091188
Year of build,0.06841537332536131,0.08853570403534296
Terminal Name,0.05666979310986307,0.03666872256577172
Deadweight,0.04560601100278764,0.08285684162902868
Voyage Speed Average,0.039164259554784996,0.12083260231893425
Voyage Origin Port,0.032644042408928896,0.07719232261978697
Gross tonnage,0.03174288592350278,0.05650366364771969
Flag,0.018926383514865048,0.047601461323530055
Breadth,0.015267400308570685,0.02428462693000328
Commercial Market,0.01391639212703175,0.01165966059396516
Length,0.009939912737072792,0.025989194393985855
Vessel Type - Generic,0.006318761551120115,0.019144551844308216
