model,n,n_vessels,split,r2_log_mean,rmse_log_mean,r2_hours_mean,rmse_hours_mean,mae_hours_mean,median_ae_hours_mean,r2_log_sd,rmse_log_sd,r2_hours_sd,rmse_hours_sd,mae_hours_sd,median_ae_hours_sd,config,time_at_port_used
Random Forest (500 trees),1769,340,grouped by vessel,0.45815206750579396,1.1100885394001683,0.6733721316868774,9.145819073571344,3.9746891718282624,0.8680551389539023,0.49486637332667427,0.6117421822110862,0.3054387454785239,3.475781269386779,2.538698249193621,1.0450680085921704,A. Thesis baseline (as published),True
Random Forest (500 trees),1769,340,grouped by vessel,0.5609838080621512,0.9973669594864395,0.4823744600935532,12.635198778273686,6.095591784128045,2.367145149575067,0.13712290630703125,0.2335893532068861,0.10062011150275575,1.098756934567544,1.6954449411970915,2.2161362680858727,A. Thesis baseline (as published),False
Random Forest (500 trees),1769,340,grouped by vessel,0.79550836990296,0.6875006917567015,0.7672068619800596,8.013349467994798,2.2521023544022296,0.24051943303978138,0.052306779576993395,0.17359655720705405,0.16053478709489727,2.73223002639875,0.6699062337828128,0.02594928582796675,B. + size fields parsed as numbers,True
Random Forest (500 trees),1769,340,grouped by vessel,0.6087115979205413,0.8716703398642662,0.5170280415578947,12.241685911849741,5.714157755247111,1.8463607596381635,0.284076447022695,0.1598451196889057,0.08046897168973535,1.1766336213229291,1.697168121666522,2.096533736528319,B. + size fields parsed as numbers,False
Random Forest (500 trees),795,334,grouped by vessel,0.894680128275915,0.20024483945697363,0.9109485419272307,5.8373826689013875,1.938277250553624,0.17696141482312305,0.08612862580920728,0.1121334845229276,0.10046049539625701,3.559811221192897,0.9592841352415823,0.02114428243588795,C. + service craft removed,True
Random Forest (500 trees),795,334,grouped by vessel,0.37714449369669284,0.5106480525961261,0.3092493962505166,18.090049947639535,10.413649650973529,5.511057640128384,0.09116759458174772,0.07414317592496251,0.10641787530060164,4.2370451837072505,1.7418688635859212,0.47557455456421577,C. + service craft removed,False
Random Forest (500 trees),753,334,grouped by vessel,0.9050801989626278,0.1939529282858056,0.9556036679049272,4.400986127790555,1.612297456030668,0.16631203605233544,0.06402406328862197,0.09083200754320675,0.03464330557517681,1.902903587448682,0.6856830611039292,0.023951646777892337,D. + one call per vessel per day,True
Random Forest (500 trees),753,334,grouped by vessel,0.37921944852428224,0.5092700207379581,0.30357631302195515,18.317596427471408,10.519472908834594,5.579722735930645,0.09970378721000639,0.07266213768570055,0.11338685028189434,4.315899033143125,1.7947083400860064,0.619135096677154,D. + one call per vessel per day,False
Random Forest (500 trees),332,332,grouped by vessel,0.9654345332013424,0.09723439622769639,0.975935100487745,3.7963882636566026,1.3459455295447023,0.2277809561693065,0.044658629151371525,0.053003239240686194,0.02135976997506928,1.6603591480076358,0.6675051757979045,0.02294352207598835,E. + one call per vessel (manuscript-style),True
Random Forest (500 trees),332,332,grouped by vessel,0.3030573742751377,0.5136766610325288,0.23031617538455534,23.663647242751843,13.622888536060895,7.1226615671919005,0.1300620635143767,0.052178783954586486,0.07021421270913612,5.663702202496879,2.3265401577075284,0.5719385286778683,E. + one call per vessel (manuscript-style),False
